Code,Glyph,Description,CharacterSet,is_unicode,CodeEscaped,ASCII
U+01AA,Aa,Latin Letter Reversed Esh Loop,Table_Latin_Extended-B,TRUE,\u01AA,l
U+01AB,A",Latin Small Letter T with palatal hook,Table_Latin_Extended-B,TRUE,\u01AB,t
U+01AC,Anot,Latin Capital Letter T with hook,Table_Latin_Extended-B,TRUE,\u01AC,T
U+01AD,AXxXunicodeXxX,Latin Small Letter T with hook,Table_Latin_Extended-B,TRUE,\u01AD,t
U+01AE,AR,Latin Capital Letter T with retroflex hook,Table_Latin_Extended-B,TRUE,\u01AE,T
U+01AF,A-,Latin Capital Letter U with horn,Table_Latin_Extended-B,TRUE,\u01AF,U
U+01B0,Adeg,Latin Small Letter U with horn,Table_Latin_Extended-B,TRUE,\u01B0,u
U+01B1,A+-,Latin Capital Letter Upsilon,Table_Latin_Extended-B,TRUE,\u01B1,U
U+01B2,A2,Latin Capital Letter V with hook,Table_Latin_Extended-B,TRUE,\u01B2,V
U+01B3,A3,Latin Capital Letter Y with hook,Table_Latin_Extended-B,TRUE,\u01B3,Y
U+01B4,A^,Latin Small Letter Y with hook,Table_Latin_Extended-B,TRUE,\u01B4,y
U+01B5,Amu,Latin Capital Letter Z with stroke,Table_Latin_Extended-B,TRUE,\u01B5,Z
U+01B6,Aparagraph,Latin Small Letter Z with stroke,Table_Latin_Extended-B,TRUE,\u01B6,z
U+01B7,A.,Latin Capital Letter Ezh,Table_Latin_Extended-B,TRUE,\u01B7,Ezh
