Code,Glyph,Description,CharacterSet,is_unicode,CodeEscaped,ASCII
U+0193,Ɠ,Latin Capital Letter G with hook,Table_Latin_Extended-B,TRUE,\u0193,G
U+0194,Ɣ,Latin Capital Letter Gamma,Table_Latin_Extended-B,TRUE,\u0194,G
U+0195,ƕ,Latin Small Letter HV,Table_Latin_Extended-B,TRUE,\u0195,hv
U+0196,Ɩ,Latin Capital Letter Iota,Table_Latin_Extended-B,TRUE,\u0196,I
U+0197,Ɨ,Latin Capital Letter I with stroke,Table_Latin_Extended-B,TRUE,\u0197,I
U+0198,Ƙ,Latin Capital Letter K with hook,Table_Latin_Extended-B,TRUE,\u0198,K
U+0199,ƙ,Latin Small Letter K with hook,Table_Latin_Extended-B,TRUE,\u0199,k
U+019A,ƚ,Latin Small Letter L with bar,Table_Latin_Extended-B,TRUE,\u019A,l
U+019B,ƛ,Latin Small Letter Lambda with stroke,Table_Latin_Extended-B,TRUE,\u019B,l
U+019C,Ɯ,Latin Capital Letter Turned M,Table_Latin_Extended-B,TRUE,\u019C,M
U+019D,Ɲ,Latin Capital Letter N with left hook,Table_Latin_Extended-B,TRUE,\u019D,N
U+019E,ƞ,Latin Small Letter N with long right leg,Table_Latin_Extended-B,TRUE,\u019E,n
U+019F,Ɵ,Latin Capital Letter O with middle tilde,Table_Latin_Extended-B,TRUE,\u019F,O
U+01A0,Ơ,Latin Capital Letter O with horn,Table_Latin_Extended-B,TRUE,\u01A0,O
U+01A1,ơ,Latin Small Letter O with horn,Table_Latin_Extended-B,TRUE,\u01A1,o
U+01A2,Ƣ,Latin Capital Letter OI (= Latin Capital Letter Gha),Table_Latin_Extended-B,TRUE,\u01A2,OI
U+01A3,ƣ,Latin Small Letter OI (= Latin Small Letter Gha),Table_Latin_Extended-B,TRUE,\u01A3,oi
U+01A4,Ƥ,Latin Capital Letter P with hook,Table_Latin_Extended-B,TRUE,\u01A4,P
U+01A5,ƥ,Latin Small Letter P with hook,Table_Latin_Extended-B,TRUE,\u01A5,p
U+01A6,Ʀ,Latin Letter YR,Table_Latin_Extended-B,TRUE,\u01A6,yr
U+01A7,Ƨ,Latin Capital Letter Tone Two,Table_Latin_Extended-B,TRUE,\u01A7,2
U+01A8,ƨ,Latin Small Letter Tone Two,Table_Latin_Extended-B,TRUE,\u01A8,2
U+01A9,Ʃ,Latin Capital Letter Esh,Table_Latin_Extended-B,TRUE,\u01A9,E
U+01AA,ƪ,Latin Letter Reversed Esh Loop,Table_Latin_Extended-B,TRUE,\u01AA,l
U+01AB,ƫ,Latin Small Letter T with palatal hook,Table_Latin_Extended-B,TRUE,\u01AB,t
U+01AC,Ƭ,Latin Capital Letter T with hook,Table_Latin_Extended-B,TRUE,\u01AC,T
U+01AD,ƭ,Latin Small Letter T with hook,Table_Latin_Extended-B,TRUE,\u01AD,t
U+01AE,Ʈ,Latin Capital Letter T with retroflex hook,Table_Latin_Extended-B,TRUE,\u01AE,T
